#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
-3.0,2,189.224223
-2.0,3,189.32886
5.0,5,189.607738
-2.0,3,189.909899
-5.0,1,190.029583
5.0,5,190.347328
4.0,4,190.476126
5.0,5,190.769823
-2.0,3,190.934798
5.0,5,191.307452
-3.0,2,191.434897
5.0,5,191.748609
-2.175214,3,192.042168
5.0,5,192.242661
5.0,5,192.546156
-2.175214,3,192.764215
5.0,5,193.085187
-2.0,3,193.34352
-2.742999,3,193.525368
5.0,5,193.909454
5.0,5,194.225375
-1.0,4,194.536032
5.0,5,194.812998
5.0,5,195.127004
5.0,5,195.386034
5.0,5,195.737227
-2.742999,3,196.047574
5.0,5,196.334057
-2.0,3,196.664559
-3.0,2,196.779776
-4.0,1,196.947599
-2.0,3,197.228496
5.0,5,197.508473
5.0,5,197.720208
5.0,5,198.017496
5.0,5,198.330121
4.0,4,198.658612
-2.742999,3,198.894136
-2.0,3,199.042233
2.0,3,199.327476
5.0,5,199.616911
-2.0,3,199.847843
-2.175214,3,200.040382
5.0,5,200.288626
5.0,5,200.652813
-1.0,4,200.896213
-2.742999,3,201.285169
5.0,5,201.582775
5.0,5,201.833215
5.0,5,202.130579
2.0,3,202.364555
5.0,5,202.673717
-5.0,1,202.788326
5.0,5,203.082208
-1.0,4,203.398607
6.0,6,203.784953
-2.0,3,204.062969
5.0,5,204.407127
4.0,4,204.644486
5.0,5,205.026957
5.0,5,205.334793
5.0,5,205.705107
5.0,5,205.908949
2.0,3,206.065489
4.0,4,207.718281
5.0,5,208.100692
-3.0,2,208.221877
5.0,5,208.548349
4.0,4,208.838471
5.0,5,209.102767
6.0,6,209.50108
5.0,5,209.89934
4.0,4,210.173909
-2.0,3,210.305159
5.0,5,210.468695
5.0,5,210.819228
5.0,5,211.21585
5.0,5,211.496312
-2.0,3,211.700443
5.0,5,212.041835
-3.982694,2,212.250773
-3.0,2,212.420991
4.0,4,212.660895
5.0,5,212.967939
5.0,5,213.211883
-3.0,2,213.386266
5.0,5,213.653288
-2.0,3,213.879241
-1.0,4,214.119552
5.0,5,214.467696
5.0,5,214.90821
5.0,5,215.319552
2.0,3,215.562577
5.0,5,215.814487
5.0,5,216.219662
2.0,3,216.449161
5.0,5,216.721005
5.0,5,216.874024
-3.0,2,217.042447
6.0,6,217.381695
5.0,5,217.654778
-2.0,3,217.825125
5.0,5,218.083774
-2.0,3,218.312822
5.0,5,218.611787
-2.468761,3,218.905913
-3.0,2,219.103468
5.0,5,219.533427
-2.175214,3,219.807615
5.0,5,220.191771
4.0,4,220.424117
-2.0,3,220.706601
-3.0,2,220.927489
5.0,5,221.218274
-3.0,2,221.38795
-2.175214,3,221.587367
5.0,5,221.805456
5.0,5,222.191869
-4.0,1,222.346725
5.0,5,222.725448
5.0,5,223.01731
-2.0,3,223.165255
5.0,5,223.528704
4.0,4,223.760362
-2.0,3,223.966595
-3.0,2,224.080786
-2.0,3,224.25713
5.0,5,224.489732
-4.0,1,224.606449
-1.0,4,224.884407
5.0,5,225.104423
5.0,5,225.471009
-2.0,3,225.655386
