#{"t_start": 1745397208.6728308, "env_id": "intersection-v0"}
r,l,t
5.0,5,167.177167
2.0,3,167.45052
5.0,5,167.790568
5.0,5,168.19913
-2.0,3,168.423732
5.0,5,168.71199
4.0,4,168.92734
5.0,5,169.224492
4.0,4,169.483731
-2.175214,3,169.672497
-2.0,3,169.906008
-1.0,4,170.16835
5.0,5,170.466669
-3.068023,2,170.607928
-2.0,3,170.801866
-2.0,3,171.033879
-4.0,1,171.146748
-1.0,4,171.414598
-2.468761,3,171.558464
-2.0,3,171.786495
5.0,5,172.136658
5.0,5,172.593166
5.0,5,172.935426
5.0,5,173.286605
-2.175214,3,173.418752
-3.0,2,173.549946
-3.0,2,173.729555
5.0,5,174.069317
6.0,6,174.442932
-2.0,3,174.573023
-2.0,3,174.892059
-2.742999,3,175.093167
-2.0,3,175.206697
-2.0,3,175.471537
-2.0,3,175.700644
-3.0,2,175.99825
-3.0,2,176.091355
-2.0,3,176.258139
5.0,5,176.498445
5.0,5,176.789283
-3.0,2,176.975564
4.0,4,177.272693
-2.0,3,177.489149
-2.0,3,177.771222
-1.0,4,178.162779
5.0,5,178.561502
4.0,4,178.846005
5.0,5,179.292127
5.0,5,179.572063
5.0,5,179.845592
5.0,5,180.179908
5.0,5,180.344155
-2.0,3,180.561575
-3.0,2,180.737614
5.0,5,180.935661
-3.0,2,181.113748
-2.0,3,181.386676
5.0,5,181.607899
-2.742999,3,181.843766
5.0,5,182.083831
5.0,5,182.467379
-2.0,3,182.639321
-2.742999,3,182.876628
5.0,5,183.24606
-2.0,3,183.403181
-2.0,3,183.510539
5.0,5,183.720576
5.0,5,183.923382
2.0,3,184.146994
-2.742999,3,184.367462
5.0,5,184.680687
-2.0,3,184.896048
2.0,3,185.109849
5.0,5,185.379192
-3.0,2,185.570501
-2.175214,3,185.857439
5.0,5,186.182755
5.0,5,186.562209
5.0,5,186.804414
5.0,5,187.011944
5.0,5,187.35805
-3.0,2,187.519886
5.0,5,187.721278
-2.0,3,187.968247
4.0,4,188.260575
5.0,5,188.499607
5.0,5,188.81746
-2.0,3,189.029754
-2.468761,3,189.222167
5.0,5,189.437081
2.0,3,189.607947
5.0,5,189.880908
-3.0,2,190.07053
5.0,5,190.263891
5.0,5,190.626888
-2.0,3,190.813375
5.0,5,191.026406
-2.0,3,191.155643
5.0,5,191.394306
5.0,5,191.63816
4.0,4,191.891546
5.0,5,192.125151
5.0,5,192.351191
5.0,5,192.698615
-2.742999,3,192.852188
5.0,5,193.097672
-2.175214,3,193.255771
5.0,5,193.536014
5.0,5,193.731965
-2.0,3,193.934489
5.0,5,194.264828
5.0,5,194.684966
-2.0,3,194.858011
5.0,5,195.260441
5.0,5,195.634695
2.0,3,195.851962
4.0,4,197.359767
-3.0,2,197.526409
-4.0,1,197.638452
-3.392624,2,197.823187
-2.0,3,198.043796
5.0,5,198.355152
5.0,5,198.666736
5.0,5,199.017128
-3.0,2,199.221023
-2.0,3,199.49828
-5.0,1,199.59879
5.0,5,199.818488
-2.0,3,200.017824
-2.0,3,200.226314
5.0,5,200.550569
-2.0,3,200.748493
-2.0,3,200.936327
5.0,5,201.222247
-2.0,3,201.40765
5.0,5,201.648865
4.0,4,201.867897
5.0,5,202.135609
5.0,5,202.485304
5.0,5,202.818777
-2.0,3,203.103464
-3.0,2,203.252092
-1.0,4,203.440446
5.0,5,203.79187
5.0,5,204.037881
-2.0,3,204.154418
5.0,5,204.447261
-2.0,3,204.621036
5.0,5,204.821774
-2.0,3,205.068365
5.0,5,205.398073
4.0,4,205.709107
5.0,5,206.054059
5.0,5,206.35953
5.0,5,206.680851
4.0,4,206.865934
-3.0,2,207.056619
5.0,5,207.317088
-5.0,1,207.446635
-2.0,3,207.80438
5.0,5,208.097306
-3.0,2,208.274149
5.0,5,208.588514
5.0,5,208.872946
4.0,4,209.111143
-3.0,2,209.288702
-3.0,2,209.43866
5.0,5,209.599262
5.0,5,209.884441
5.0,5,210.265605
-3.0,2,210.458567
5.0,5,210.782365
4.0,4,211.033186
-2.0,3,211.237757
5.0,5,211.534486
-2.0,3,211.87569
2.0,3,212.149443
5.0,5,212.517802
3.0,4,212.773485
-5.0,1,212.896371
5.0,5,213.152998
5.0,5,213.461477
-3.0,2,213.621506
2.0,3,213.838627
-2.0,3,214.079534
-2.468761,3,214.276504
5.0,5,214.608282
5.0,5,214.998454
2.0,3,215.198941
-2.0,3,215.353936
-2.742999,3,215.599396
-2.0,3,215.789678
5.0,5,216.174774
-3.0,2,216.290747
5.0,5,216.662211
2.0,3,216.837329
2.0,3,217.059726
-4.0041,1,217.224699
-2.0,3,217.446918
5.0,5,217.730408
5.0,5,218.088561
-2.742999,3,218.329459
-3.0,2,218.562001
5.0,5,218.869296
-2.742999,3,219.06141
5.0,5,219.515617
5.0,5,219.734749
-2.0,3,219.879089
5.0,5,220.15878
5.0,5,220.333156
-2.0,3,220.519788
5.0,5,220.880782
5.0,5,221.142089
2.0,3,221.387681
5.0,5,221.662413
5.0,5,222.016567
-2.0,3,222.23104
-3.0,2,222.379332
-2.0,3,222.605351
5.0,5,222.838934
-2.175214,3,222.979386
-1.0,4,223.246148
-3.697041,2,223.384551
5.0,5,223.797313
-2.0,3,224.015637
2.0,3,224.211744
-2.0,3,224.429821
5.0,5,224.738581
-2.468761,3,224.946761
-2.175214,3,225.0884
5.0,5,225.306962
-3.0,2,225.55378
-2.0,3,225.77365
-1.0,4,225.995816
5.0,5,226.31062
-4.0041,1,226.426991
2.0,3,226.616211
-3.0,2,226.792505
3.0,4,227.065255
-1.0,4,227.317635
5.0,5,227.500483
5.0,5,227.721487
5.0,5,228.055937
-3.0,2,228.301141
-3.0,2,228.414721
-2.175214,3,228.678315
5.0,5,228.899141
-2.0,3,229.179172
5.0,5,229.329062
5.0,5,229.542995
5.0,5,229.857729
5.0,5,230.152378
2.0,3,230.41428
5.0,5,230.748644
5.0,5,231.067553
5.0,5,231.304747
5.0,5,231.618578
5.0,5,232.017904
-2.175214,3,232.332869
-3.0,2,232.548424
-2.0,3,232.723362
5.0,5,232.896043
5.0,5,233.325428
4.0,4,233.671593
5.0,5,234.097948
-2.0,3,234.325924
-1.0,4,234.563713
-2.175214,3,234.877692
-1.429751,4,235.214556
-2.0,3,235.458625
5.0,5,235.84717
-2.0,3,236.110759
-2.0,3,236.330519
-2.0,3,236.631398
5.0,5,236.801979
5.0,5,237.060585
5.0,5,237.237056
4.0,4,237.565662
-1.0,4,237.808037
-2.0,3,238.112863
2.0,3,238.304534
-2.468761,3,238.506717
-4.0,1,238.595464
-1.0,4,238.881435
-2.0,3,239.054994
4.0,4,239.308901
5.0,5,239.618901
5.0,5,239.899059
-2.0,3,240.147808
-2.0,3,240.542794
5.0,5,240.860712
-2.0,3,241.120806
-2.0,3,241.323721
5.0,5,241.621762
5.0,5,241.834872
5.0,5,242.354014
5.0,5,242.585055
-2.0,3,242.862095
5.0,5,242.999539
-2.0,3,243.241166
4.0,4,243.422851
5.0,5,243.828589
4.0,4,244.059159
5.0,5,244.528023
-2.0,3,244.81059
5.0,5,245.074285
2.0,3,245.338662
5.0,5,245.520685
4.0,4,245.732977
3.0,4,245.985986
5.0,5,246.190849
-2.0,3,246.504742
3.0,4,246.811919
-2.0,3,246.964246
-3.0,2,247.127279
-2.0,3,247.373178
-2.0,3,247.59365
-2.0,3,247.932856
-2.0,3,248.155783
4.0,4,248.423491
5.0,5,248.669339
2.0,3,248.822582
5.0,5,249.105318
5.0,5,249.387126
5.0,5,249.635507
4.0,4,249.891011
5.0,5,250.174882
5.0,5,250.611306
5.0,5,250.937341
-2.0,3,251.223587
5.0,5,251.562293
5.0,5,251.868311
5.0,5,252.042481
2.0,3,252.233521
-3.0,2,252.376386
-2.468761,3,252.69866
5.0,5,252.922529
5.0,5,253.118914
5.0,5,253.428513
-2.0,3,253.698611
5.0,5,253.974112
5.0,5,254.218269
5.0,5,254.533138
5.0,5,254.842418
-2.468761,3,255.083686
4.0,4,255.294727
5.0,5,255.527003
4.0,4,255.807291
-3.0,2,255.904274
-2.0,3,256.06239
4.0,4,256.2559
5.0,5,256.623591
-2.0,3,256.876841
-2.0,3,257.053844
-2.0,3,257.275291
5.0,5,257.609741
-3.0,2,257.768682
5.0,5,258.005653
-2.0,3,258.206601
5.0,5,258.605406
-2.0,3,258.818118
5.0,5,259.071733
-2.0,3,259.301956
5.0,5,259.602446
5.0,5,259.863422
4.0,4,260.051559
5.0,5,260.24906
-2.0,3,260.452026
5.0,5,260.753507
5.0,5,261.064998
-2.0,3,261.36157
5.0,5,261.694964
-2.0,3,261.879033
-2.0,3,262.129457
5.0,5,262.395048
-2.0,3,262.625433
3.0,4,264.241713
5.0,5,264.580935
-4.0,1,264.724188
-2.0,3,264.937068
-3.0,2,265.114909
5.0,5,265.340304
-2.175214,3,265.523498
-2.0,3,265.806724
-3.0,2,265.976689
-3.0,2,266.17247
-2.0,3,266.408289
-1.0,4,266.655871
-2.0,3,266.863931
5.0,5,267.049032
-2.0,3,267.227283
-2.0,3,267.433624
-2.0,3,267.607043
5.0,5,267.942237
-0.695039,5,268.384727
5.0,5,268.790362
-2.0,3,269.071535
5.0,5,269.340257
5.0,5,269.739237
-2.742999,3,269.930704
-2.0,3,270.127049
5.0,5,270.3503
-2.0,3,270.597541
-2.0,3,270.810337
5.0,5,271.230605
2.0,3,271.491566
5.0,5,271.899353
-1.0,4,272.219028
-4.0041,1,272.301682
5.0,5,272.567896
-2.0,3,272.727985
5.0,5,273.020719
-3.0,2,273.17623
-3.0,2,273.324421
-3.0,2,273.395746
-2.468761,3,273.657186
-2.0,3,273.855222
5.0,5,274.115483
5.0,5,274.332745
4.0,4,274.56873
4.0,4,274.782157
-3.0,2,274.947799
-2.175214,3,275.287487
-2.0,3,275.599493
4.0,4,275.861891
5.0,5,276.186248
5.0,5,276.614669
5.0,5,276.922068
-3.0,2,277.115853
5.0,5,277.454875
-5.0,1,277.531493
5.0,5,277.911323
5.0,5,278.189097
-3.0,2,278.358958
5.0,5,278.5947
-2.0,3,278.897605
-2.0,3,279.102076
-4.0,1,279.283993
-2.742999,3,279.580256
5.0,5,279.960924
5.0,5,280.159399
5.0,5,280.42931
5.0,5,280.633141
-3.0,2,280.777918
5.0,5,281.020285
-1.0,4,281.433612
-2.175214,3,281.73655
-2.0,3,282.050456
5.0,5,282.393643
2.0,3,282.66065
5.0,5,282.944596
5.0,5,283.218708
-2.0,3,283.468888
5.0,5,283.675629
5.0,5,284.009468
2.0,3,284.203264
4.0,4,284.580497
-2.468761,3,284.861765
5.0,5,285.201479
5.0,5,285.395394
-5.0,1,285.516938
5.0,5,285.77838
4.0,4,286.095679
5.0,5,286.375714
5.0,5,286.684175
-2.0,3,286.894396
-3.0,2,287.105964
5.0,5,287.528859
3.0,4,287.947964
-2.0,3,288.220579
-2.0,3,288.455387
5.0,5,288.816104
-2.0,3,289.064859
4.0,4,289.41555
-2.0,3,289.673078
5.0,5,290.005597
-2.0,3,290.177103
-2.0,3,290.351613
5.0,5,290.55519
-2.0,3,290.75368
-2.0,3,290.949017
-2.468761,3,291.134451
5.0,5,291.57861
5.0,5,291.785307
5.0,5,292.194862
-2.468761,3,292.462846
5.0,5,292.882307
5.0,5,293.232537
5.0,5,293.645838
5.0,5,294.012785
-1.0,4,294.334976
-2.0,3,294.497413
5.0,5,294.765509
5.0,5,295.040423
-3.0,2,295.229556
5.0,5,295.560414
2.0,3,295.842018
4.0,4,296.147077
2.0,3,296.357562
5.0,5,296.714754
-3.0,2,296.905931
-1.0,4,297.164078
4.0,4,297.448837
5.0,5,297.750219
-2.0,3,297.955551
2.0,3,298.108951
5.0,5,298.483035
-2.0,3,298.773758
5.0,5,299.073852
5.0,5,299.312984
-2.0,3,299.546924
-2.0,3,299.817575
5.0,5,300.223336
5.0,5,300.703622
5.0,5,301.226201
-2.0,3,301.420316
-3.0,2,301.558679
-2.175214,3,301.845524
-3.0,2,302.01824
-5.0,1,302.176592
-2.175214,3,302.456244
-2.742999,3,302.637169
5.0,5,302.94843
5.0,5,303.194873
2.0,3,303.494884
5.0,5,303.647552
2.0,3,303.799111
5.0,5,304.042878
-1.0,4,304.294781
-3.0,2,304.493493
5.0,5,304.894698
5.0,5,305.258534
-2.0,3,305.453429
5.0,5,305.802805
5.0,5,306.169257
5.0,5,306.403435
5.0,5,306.776413
-2.0,3,306.983865
-2.0,3,307.131738
-2.0,3,307.37262
-2.0,3,307.652506
5.0,5,307.862752
-2.0,3,308.074033
5.0,5,308.361202
-4.875676,1,308.45778
-3.0,2,308.612594
-1.0,4,308.971544
5.0,5,309.256609
3.0,4,309.612965
